500	0	0	688	20.2	761	27.2	791	32.4	808	36.7	818	40.2	826	43.7	831	46.7	835.0	49.2	838	51.5
510	0	0	683	20.2	758	27.2	789	32.4	806	36.7	817	40.2	825	43.7	830	46.7	834.1	49.2	837	51.5
520	0	0	679	20.2	756	27.2	787	32.4	805	36.7	815	40.2	824	43.7	829	46.7	833.2	49.2	836	51.5
530	0	0	674	20.2	753	27.2	785	32.4	803	36.7	814	40.2	823	43.7	828	46.7	832.3	49.2	836	51.5
540	0	0	670	20.2	751	27.2	783	32.4	802	36.7	813	40.2	822	43.7	827	46.7	831.4	49.2	835	51.5
550	0	0	665	20.1	748	27.2	781	32.4	800	36.7	812	40.2	821	43.7	826	46.7	830.5	49.2	834	51.4
560	0	0	660	20.1	745	27.2	779	32.4	798	36.7	810	40.2	819	43.7	825	46.7	829.6	49.2	833	51.4
570	0	0	656	20.1	743	27.2	777	32.4	797	36.7	809	40.2	818	43.7	824	46.7	828.7	49.2	832	51.4
580	0	0	651	20.1	740	27.2	776	32.4	795	36.7	808	40.2	817	43.7	823	46.7	827.8	49.2	832	51.4
590	0	0	647	20.1	738	27.2	774	32.4	794	36.7	806	40.2	816	43.7	822	46.7	826.9	49.2	831	51.4
600	0	0	642	19.9	735	27.1	772	32.3	792	36.6	805	40.2	815	43.7	821	46.7	826.0	49.2	830	51.2
610	0	0	637	19.9	732	27.1	770	32.3	791	36.6	804	40.2	814	43.7	820	46.7	825.1	49.2	829	51.2
620	0	0	632	19.9	729	27.1	768	32.3	789	36.6	802	40.2	813	43.7	819	46.7	824.2	49.2	828	51.2
630	0	0	627	19.9	727	27.1	766	32.3	788	36.6	801	40.2	812	43.7	818	46.7	823.3	49.2	827	51.2
640	0	0	622	19.9	724	27.1	764	32.3	786	36.6	800	40.2	811	43.7	817	46.7	822.4	49.2	826	51.2
650	0	0	617	19.7	721	27.0	762	32.3	785	36.6	799	40.2	810	43.7	817	46.7	821.5	49.2	826	51.2
660	0	0	612	19.7	718	27.0	760	32.3	783	36.6	797	40.2	808	43.7	816	46.7	820.6	49.2	825	51.2
670	0	0	607	19.7	716	27.0	758	32.3	782	36.6	796	40.2	807	43.7	815	46.7	819.7	49.2	824	51.2
680	0	0	602	19.7	713	27.0	756	32.3	780	36.6	795	40.2	806	43.7	814	46.7	818.8	49.2	823	51.2
690	0	0	597	19.7	711	27.0	754	32.3	779	36.6	793	40.2	805	43.7	813	46.7	817.9	49.2	822	51.2
700	0	0	592	19.5	708	27.0	752	32.2	777	36.6	792	40.1	804	43.6	812	46.7	817.0	49.2	821	51.1
710	0	0	587	19.5	705	27.0	750	32.2	776	36.6	791	40.1	803	43.6	811	46.7	816.1	49.2	820	51.1
720	0	0	582	19.5	702	27.0	748	32.2	774	36.6	789	40.1	802	43.6	810	46.7	815.2	49.2	819	51.1
730	0	0	576	19.5	700	27.0	747	32.2	773	36.6	788	40.1	800	43.6	809	46.7	814.3	49.2	819	51.1
740	0	0	571	19.5	697	27.0	745	32.2	771	36.6	787	40.1	799	43.6	808	46.7	813.4	49.2	818	51.1
750	0	0	566	19.3	694	26.9	743	32.2	770	36.6	786	40.1	798	43.6	807	46.7	812.5	49.2	817	51.1
760	0	0	560	19.3	691	26.9	741	32.2	768	36.6	784	40.1	797	43.6	806	46.7	811.6	49.2	816	51.1
